#
# 28/08/2019 
# Maintainters: Ting Li, Andrew Cooper
#
RA            ;      DEC     ;    AREA  ; Comment    
192.859477895 ;  27.128252415;       NGP; 
        199.0 ;          18.3; M53+N5053; 
        199.0 ;          18.3; M53+N5053; 
 156.06453792 ;   43.31780956;     GD1-B; Spur right
 152.54030107 ;   40.30048513;     GD1-B; Spur mid
 149.31928365 ;   37.18726904;     GD1-B; Spur left
229.638416667 ; 2.08102777778;        M5; 
229.638416667 ; 2.08102777778;        M5; 
250.421833333 ; 36.4598611111;       M13; 
250.421833333 ; 36.4598611111;       M13; 
   260.051625 ;     57.915361;     DRACO; 
   260.051625 ;     57.915361;     DRACO; 
   260.051625 ;     57.915361;     DRACO; 
   260.051625 ;     57.915361;     DRACO; 
      132.825 ;          11.8;       M67; +GD1-A
      132.825 ;          11.8;       M67; +GD1-A
259.280791667 ; 43.1359444444;       M92; 
259.280791667 ; 43.1359444444;       M92; 
322.493041667 ;        12.167;       M15; 
322.493041667 ;        12.167;       M15; 
 127.58249033 ;    0.18261321;      LOWB; GD1-A
 127.58249033 ;    0.18261321;      LOWB; GD1-A
      198.039 ;           0.0;  BOSS7456; 
 168.38247475 ;   50.46227707;     GD1-C; Gap mid
67.9456108076 ; 15.8666666667;    HYADES; 
65.5043891924 ; 15.8666666667;    HYADES; 
70.3868324227 ; 15.8666666667;    HYADES; 
63.0631675773 ; 15.8666666667;    HYADES; 
 158.12834749 ;   10.36001699;  ORPHAN-A; On
 159.07757328 ;    7.50387274;  ORPHAN-A; On
 160.91367807 ;    9.71391659;  ORPHAN-A; Off
 173.54687894 ;   52.86026913;     GD1-C-BACKUP; Gap right
 163.73654298 ;   47.85837374;     GD1-C-BACKUP; Gap left
 323.362552   ;     -0.823318;        M2;
 323.362552   ;     -0.823318;        M2;
